No,Tool,Category,Release,Best For / Use-Case,Website,Pricing Model,Free Tier / Trial,Paid Plans (USD per month unless noted),G2 Rating (n/a = no/limited G2 profile),Est. Monthly Web Visits,Est. Mobile MAU,Origin
151,Mubert,"Audio, Music & Voice",2016,"Generative music streams/API",https://mubert.com,Freemium,"Free","Ambassador ~$14; Pro ~$39",n/a,n/a,n/a,United States
152,Podcastle,"Audio, Music & Voice",2020,"AI podcast recording & editing",https://podcastle.ai,Freemium,"Free","Storyteller ~$15; Pro ~$30",n/a,n/a,n/a,United States
153,Amazon Q Developer,"Coding & Development",2024,"AWS AI coding assistant",https://aws.amazon.com/q/developer/,Freemium,"Free tier","Pro $19/seat",n/a,n/a,n/a,United States
154,Sourcegraph Cody,"Coding & Development",2023,"Codebase-aware AI assistant",https://sourcegraph.com,Freemium,"Free","Pro $9; Enterprise custom",4.4,n/a,n/a,United States
155,Qodo,"Coding & Development",2022,"AI code integrity & test gen",https://www.qodo.ai,Freemium,"Free","Teams ~$19/seat; Enterprise custom",4.5,n/a,n/a,Israel
156,Aider,"Coding & Development",2023,"Terminal AI pair programmer",https://aider.chat,Free,"Free (open source)","Bring-your-own LLM API cost",n/a,n/a,n/a,United States
157,Continue,"Coding & Development",2023,"Open-source IDE AI assistant",https://www.continue.dev,Freemium,"Free (open source)","Solo ~$10; Teams ~$20/seat",n/a,n/a,n/a,United States
158,Cognition Devin,"Coding & Development",2024,"Autonomous AI software engineer",https://cognition.ai,Paid,"Pay-as-you-go","Core from ~$20; Team ~$500",n/a,n/a,n/a,United States
159,Zed,"Coding & Development",2023,"Fast collaborative editor with AI",https://zed.dev,Freemium,"Free (open source)","Pro ~$20",n/a,n/a,n/a,United States
160,CodeRabbit,"Coding & Development",2023,"AI pull-request code review",https://www.coderabbit.ai,Freemium,"Free (open-source PRs)","Pro ~$24/seat",n/a,n/a,n/a,United States
161,Retool,"Coding & Development",2020,"Build internal tools/apps with AI",https://retool.com,Freemium,"Free","Team ~$10/seat; Business ~$50/seat",4.6,n/a,n/a,United States
162,Guru,"Productivity & Knowledge",2015,"AI enterprise knowledge search",https://www.getguru.com,Freemium,"Free","All-in-one ~$18/seat; Enterprise custom",4.7,n/a,n/a,United States
163,Coda,"Productivity & Knowledge",2019,"Docs + apps workspace with AI",https://coda.io,Freemium,"Free","Pro ~$12; Team ~$36/seat",4.7,n/a,n/a,United States
164,Motion,"Productivity & Knowledge",2019,"AI calendar & task auto-scheduling",https://www.usemotion.com,Paid (trial),"7-day trial","Individual ~$29; Team ~$20/seat",4.1,n/a,n/a,United States
165,Taskade,"Productivity & Knowledge",2017,"AI tasks, notes & agents",https://www.taskade.com,Freemium,"Free","Pro ~$8; Business ~$16/seat",4.6,n/a,n/a,United States
166,Reclaim.ai,"Productivity & Knowledge",2019,"AI time-blocking for calendars",https://reclaim.ai,Freemium,"Free","Starter ~$10; Business ~$15/seat",4.8,n/a,n/a,United States
167,Glean,"Productivity & Knowledge",2019,"Enterprise AI work assistant/search",https://www.glean.com,Paid,"Demo","Enterprise custom (~$40+/seat)",4.6,n/a,n/a,United States
168,Superhuman,"Productivity & Knowledge",2017,"AI-accelerated email client",https://superhuman.com,Paid (trial),"Trial","Starter ~$30; Business ~$40/seat",4.8,n/a,n/a,United States
169,Presentations.ai,"Presentations & Design",2023,"Prompt-to-deck presentations",https://www.presentations.ai,Freemium,"Free","Pro ~$20; Enterprise custom",n/a,n/a,n/a,United States
170,Pitch,"Presentations & Design",2020,"Collaborative decks with AI",https://pitch.com,Freemium,"Free","Pro ~$25/seat",4.6,n/a,n/a,Germany
171,Decktopus,"Presentations & Design",2020,"Guided AI deck builder",https://www.decktopus.com,Paid (trial),"Free trial","Pro ~$15; Business ~$35",4.5,n/a,n/a,Turkey
172,Plus AI,"Presentations & Design",2023,"AI slides inside Google Slides/PPT",https://www.plusdocs.com,Paid (trial),"7-day trial","Basic ~$10; Pro ~$20",4.8,n/a,n/a,United States
173,Framer,"Presentations & Design",2014,"AI website builder/design",https://www.framer.com,Freemium,"Free","Mini ~$5; Basic ~$15; Pro ~$30",4.4,n/a,n/a,Netherlands
174,Uizard,"Presentations & Design",2018,"AI UI/UX prototyping",https://uizard.io,Freemium,"Free","Pro ~$12; Business ~$49/seat",4.6,n/a,n/a,Denmark
175,Looka,"Presentations & Design",2016,"AI logo & brand-kit maker",https://looka.com,Freemium,"Free preview","Logo ~$20 one-time; Brand kit ~$96/yr",4.4,n/a,n/a,Canada
176,Clay,"Marketing, Sales & SEO",2021,"AI-enriched sales prospecting",https://www.clay.com,Freemium,"Free","Starter ~$149; Explorer ~$349",4.9,n/a,n/a,United States
177,Apollo.io,"Marketing, Sales & SEO",2015,"Sales intelligence & outreach",https://www.apollo.io,Freemium,"Free","Basic ~$49; Professional ~$79/seat",4.7,n/a,n/a,United States
178,Gong,"Marketing, Sales & SEO",2015,"Revenue intelligence from calls",https://www.gong.io,Paid,"Demo","Enterprise custom",4.8,n/a,n/a,United States
179,Instantly,"Marketing, Sales & SEO",2021,"AI cold-email outreach at scale",https://instantly.ai,Freemium,"Free trial","Growth ~$37; Hypergrowth ~$97",4.8,n/a,n/a,United States
180,Semrush,"Marketing, Sales & SEO",2008,"SEO/marketing suite with AI",https://www.semrush.com,Paid (trial),"Free (limited)","Pro ~$140; Guru ~$250",4.5,n/a,n/a,United States
181,Ahrefs,"Marketing, Sales & SEO",2011,"SEO toolset with AI features",https://ahrefs.com,Freemium,"Free (webmaster tools)","Lite ~$129; Standard ~$249",4.6,n/a,n/a,Singapore
182,MarketMuse,"Marketing, Sales & SEO",2015,"AI content planning & briefs",https://www.marketmuse.com,Freemium,"Free","Optimize ~$149; Research ~$399",4.6,n/a,n/a,United States
183,Bubble,"Automation, Agents & No-code",2012,"No-code web-app builder with AI",https://bubble.io,Freemium,"Free","Starter ~$32; Growth ~$134",4.4,n/a,n/a,United States
184,Relevance AI,"Automation, Agents & No-code",2020,"Build AI agent teams",https://relevanceai.com,Freemium,"Free","Pro ~$19; Team ~$199",4.6,n/a,n/a,Australia
185,Lindy,"Automation, Agents & No-code",2023,"AI agents for business workflows",https://www.lindy.ai,Freemium,"Free","Pro ~$50; Business ~$300",n/a,n/a,n/a,United States
186,Gumloop,"Automation, Agents & No-code",2023,"No-code AI automation flows",https://www.gumloop.com,Freemium,"Free","Starter ~$97; Pro ~$297",n/a,n/a,n/a,United States
187,Dify,"Automation, Agents & No-code",2023,"Open-source LLM app builder",https://dify.ai,Freemium,"Free (open source)","Pro ~$59; Team ~$159",n/a,n/a,n/a,United States
188,Bardeen,"Automation, Agents & No-code",2020,"Browser automation with AI",https://www.bardeen.ai,Freemium,"Free","Pro ~$20-$60",4.5,n/a,n/a,United States
189,Google Translate,"Translation & Language",2006,"Free universal translation",https://translate.google.com,Free,"Free","—",4.7,n/a,n/a,United States
190,ELSA,"Translation & Language",2015,"AI English pronunciation coach",https://elsaspeak.com,Freemium,"Free","Premium ~$12/mo (~$60/yr)",n/a,n/a,n/a,United States
191,Speak,"Translation & Language",2016,"AI-powered spoken language tutor",https://www.speak.com,Freemium,"Free","Premium ~$20/mo (~$100/yr)",n/a,n/a,n/a,United States
192,Fathom,"Meetings & Transcription",2020,"Free AI meeting notetaker",https://fathom.video,Freemium,"Free forever","Premium ~$15; Team ~$19/seat",5.0,n/a,n/a,United States
193,tl;dv,"Meetings & Transcription",2020,"Meeting recording & AI notes",https://tldv.io,Freemium,"Free forever","Pro ~$18; Business ~$59/seat",4.7,n/a,n/a,Germany
194,Khanmigo,"Education & Research",2023,"AI tutor by Khan Academy",https://www.khanmigo.ai,Freemium,"Free for teachers","Learners ~$4/mo (~$44/yr)",n/a,n/a,n/a,United States
195,Chegg,"Education & Research",2005,"Homework help & study AI",https://www.chegg.com,Paid (trial),"Trial","Study ~$16; Study Pack ~$20",n/a,n/a,n/a,United States
196,Originality.ai,"Detection & Integrity",2022,"AI-content & plagiarism detection",https://originality.ai,Paid,"Pay-as-you-go ~$10","Pro ~$15/mo; Enterprise custom",4.5,n/a,n/a,Canada
197,Copyleaks,"Detection & Integrity",2015,"AI detection & plagiarism (enterprise)",https://copyleaks.com,Freemium,"Free trial","From ~$8-$14/mo; Enterprise custom",4.6,n/a,n/a,United States
198,Julius AI,"Data & Analytics",2023,"Chat with your data/spreadsheets",https://julius.ai,Freemium,"Free (limited)","Basic ~$18; Pro ~$45",4.8,n/a,n/a,United States
199,Hex,"Data & Analytics",2020,"AI-assisted data notebooks/BI",https://hex.tech,Freemium,"Free","Team ~$36/seat; Enterprise custom",4.6,n/a,n/a,United States
200,Intercom Fin,"Customer Support & Chatbots",2023,"AI customer-support agent",https://www.intercom.com/fin,Paid,"Trial","Fin $0.99/resolution; seats from ~$29",4.5,n/a,n/a,United States
